DQN 训练过程记录

episode | return | success | avg_return(window) | avg_success(window)
235 | +0.9200 | 1 | +0.9310 | 1.0000
236 | +0.9600 | 1 | +0.9310 | 1.0000
237 | +0.9200 | 1 | +0.9280 | 1.0000
238 | +0.9800 | 1 | +0.9310 | 1.0000
239 | +0.9400 | 1 | +0.9310 | 1.0000
240 | +0.9600 | 1 | +0.9310 | 1.0000
241 | +0.9400 | 1 | +0.9330 | 1.0000
242 | +0.9600 | 1 | +0.9360 | 1.0000
243 | +0.8800 | 1 | +0.9340 | 1.0000
244 | +0.9000 | 1 | +0.9360 | 1.0000
245 | +0.9200 | 1 | +0.9330 | 1.0000
246 | +0.9200 | 1 | +0.9340 | 1.0000
247 | +0.9600 | 1 | +0.9350 | 1.0000
248 | +0.9200 | 1 | +0.9330 | 1.0000
249 | +0.9000 | 1 | +0.9310 | 1.0000
250 | +0.9800 | 1 | +0.9320 | 1.0000
251 | +0.9200 | 1 | +0.9330 | 1.0000
252 | +0.9400 | 1 | +0.9340 | 1.0000
253 | +0.9600 | 1 | +0.9360 | 1.0000
254 | +0.9000 | 1 | +0.9340 | 1.0000
255 | +0.9000 | 1 | +0.9330 | 1.0000
256 | +0.9400 | 1 | +0.9320 | 1.0000
257 | +0.9800 | 1 | +0.9350 | 1.0000
258 | +0.9800 | 1 | +0.9350 | 1.0000
259 | +0.9800 | 1 | +0.9370 | 1.0000
260 | +0.9800 | 1 | +0.9380 | 1.0000
